tiempo,fase,duracion,ciclo,cola_v,cola_p,extension,tiempo_total,motivo
1411.0,VERDE_VEHICULAR_EXTENSION,5,27,7,6,4.0,40.0,
1416.0,AMARILLO_VEHICULAR,3,27,4,7,,,
1419.0,VERDE_PEATONAL,15,27,7,7,,,COLA_PEATONAL_ALTA
1434.0,AMARILLO_PEATONAL,3,27,10,1,,,
1437.0,VERDE_VEHICULAR_INICIAL,20,28,11,1,0.0,20.0,
1457.0,VERDE_VEHICULAR_EXTENSION,5,28,5,6,1.0,25.0,
1462.0,VERDE_VEHICULAR_EXTENSION,5,28,5,6,2.0,30.0,
1467.0,AMARILLO_VEHICULAR,3,28,3,6,,,
1470.0,VERDE_PEATONAL,15,28,4,6,,,COLA_PEATONAL_ALTA
1485.0,AMARILLO_PEATONAL,3,28,11,1,,,
1488.0,VERDE_VEHICULAR_INICIAL,20,29,12,1,0.0,20.0,
1508.0,VERDE_VEHICULAR_EXTENSION,5,29,8,5,1.0,25.0,
1513.0,VERDE_VEHICULAR_EXTENSION,5,29,8,5,2.0,30.0,
1518.0,VERDE_VEHICULAR_EXTENSION,5,29,8,5,3.0,35.0,
1523.0,VERDE_VEHICULAR_EXTENSION,5,29,5,5,4.0,40.0,
1528.0,VERDE_VEHICULAR_EXTENSION,5,29,7,5,5.0,45.0,
1533.0,VERDE_VEHICULAR_EXTENSION,5,29,5,5,6.0,50.0,
1538.0,AMARILLO_VEHICULAR,3,29,3,6,,,
1541.0,VERDE_PEATONAL,15,29,3,6,,,COLA_PEATONAL_ALTA
1556.0,AMARILLO_PEATONAL,3,29,9,0,,,
1559.0,VERDE_VEHICULAR_INICIAL,20,30,11,1,0.0,20.0,
1579.0,AMARILLO_VEHICULAR,3,30,4,1,,,
1582.0,VERDE_PEATONAL,15,30,6,1,,,HAY_PEATONES
1597.0,AMARILLO_PEATONAL,3,30,11,0,,,
1600.0,VERDE_VEHICULAR_INICIAL,20,31,11,0,0.0,20.0,
1620.0,AMARILLO_VEHICULAR,3,31,4,3,,,
1623.0,VERDE_PEATONAL,15,31,6,3,,,COLA_PEATONAL_ALTA
1638.0,AMARILLO_PEATONAL,3,31,12,0,,,
1641.0,VERDE_VEHICULAR_INICIAL,20,32,13,0,0.0,20.0,
1661.0,AMARILLO_VEHICULAR,3,32,4,1,,,
1664.0,VERDE_PEATONAL,15,32,6,2,,,HAY_PEATONES
1679.0,AMARILLO_PEATONAL,3,32,11,0,,,
1682.0,VERDE_VEHICULAR_INICIAL,20,33,11,1,0.0,20.0,
1702.0,VERDE_VEHICULAR_EXTENSION,5,33,6,4,1.0,25.0,
1707.0,VERDE_VEHICULAR_EXTENSION,5,33,5,4,2.0,30.0,
1712.0,VERDE_VEHICULAR_EXTENSION,5,33,5,4,3.0,35.0,
1717.0,VERDE_VEHICULAR_EXTENSION,5,33,6,4,4.0,40.0,
1722.0,VERDE_VEHICULAR_EXTENSION,5,33,8,4,5.0,45.0,
1727.0,VERDE_VEHICULAR_EXTENSION,5,33,6,4,6.0,50.0,
1732.0,AMARILLO_VEHICULAR,3,33,3,4,,,
1735.0,VERDE_PEATONAL,15,33,4,4,,,COLA_PEATONAL_ALTA
1750.0,AMARILLO_PEATONAL,3,33,7,0,,,
1753.0,VERDE_VEHICULAR_INICIAL,20,34,8,0,0.0,20.0,
1773.0,VERDE_VEHICULAR_EXTENSION,5,34,8,0,1.0,25.0,
1778.0,VERDE_VEHICULAR_EXTENSION,5,34,6,1,2.0,30.0,
1783.0,AMARILLO_VEHICULAR,3,34,4,2,,,
1786.0,VERDE_PEATONAL,15,34,5,2,,,HAY_PEATONES
1801.0,AMARILLO_PEATONAL,3,34,7,0,,,
1804.0,VERDE_VEHICULAR_INICIAL,20,35,7,0,0.0,20.0,
1824.0,AMARILLO_VEHICULAR,3,35,3,1,,,
1827.0,VERDE_PEATONAL,15,35,4,1,,,HAY_PEATONES
1842.0,AMARILLO_PEATONAL,3,35,8,1,,,
1845.0,VERDE_VEHICULAR_INICIAL,20,36,10,1,0.0,20.0,
1865.0,VERDE_VEHICULAR_EXTENSION,5,36,8,1,1.0,25.0,
1870.0,VERDE_VEHICULAR_EXTENSION,5,36,13,1,2.0,30.0,
1875.0,VERDE_VEHICULAR_EXTENSION,5,36,14,1,3.0,35.0,
1880.0,VERDE_VEHICULAR_EXTENSION,5,36,12,1,4.0,40.0,
1885.0,VERDE_VEHICULAR_EXTENSION,5,36,14,1,5.0,45.0,
1890.0,VERDE_VEHICULAR_EXTENSION,5,36,13,1,6.0,50.0,
1895.0,VERDE_VEHICULAR_EXTENSION,5,36,11,1,7.0,55.0,
1900.0,VERDE_VEHICULAR_EXTENSION,5,36,12,1,8.0,60.0,
1905.0,AMARILLO_VEHICULAR,3,36,12,1,,,
1908.0,VERDE_PEATONAL,15,36,13,1,,,HAY_PEATONES
1923.0,AMARILLO_PEATONAL,3,36,21,1,,,
1926.0,VERDE_VEHICULAR_INICIAL,20,37,22,1,0.0,20.0,
1946.0,VERDE_VEHICULAR_EXTENSION,5,37,10,2,1.0,25.0,
1951.0,VERDE_VEHICULAR_EXTENSION,5,37,6,3,2.0,30.0,
1956.0,AMARILLO_VEHICULAR,3,37,4,3,,,
1959.0,VERDE_PEATONAL,15,37,5,3,,,COLA_PEATONAL_ALTA
1974.0,AMARILLO_PEATONAL,3,37,12,1,,,
1977.0,VERDE_VEHICULAR_INICIAL,20,38,14,1,0.0,20.0,
1997.0,VERDE_VEHICULAR_EXTENSION,5,38,6,2,1.0,25.0,
2002.0,VERDE_VEHICULAR_EXTENSION,5,38,5,3,2.0,30.0,
2007.0,VERDE_VEHICULAR_EXTENSION,5,38,5,3,3.0,35.0,
2012.0,AMARILLO_VEHICULAR,3,38,3,4,,,
2015.0,VERDE_PEATONAL,15,38,3,4,,,COLA_PEATONAL_ALTA
2030.0,AMARILLO_PEATONAL,3,38,7,0,,,
2033.0,VERDE_VEHICULAR_INICIAL,20,39,8,1,0.0,20.0,
2053.0,AMARILLO_VEHICULAR,3,39,1,4,,,
2056.0,VERDE_PEATONAL,15,39,1,4,,,COLA_PEATONAL_ALTA
2071.0,AMARILLO_PEATONAL,3,39,4,0,,,
2074.0,VERDE_VEHICULAR_INICIAL,20,40,8,1,0.0,20.0,
2094.0,AMARILLO_VEHICULAR,3,40,1,2,,,
2097.0,VERDE_PEATONAL,15,40,1,3,,,COLA_PEATONAL_ALTA
2112.0,AMARILLO_PEATONAL,3,40,8,0,,,
2115.0,VERDE_VEHICULAR_INICIAL,20,41,8,1,0.0,20.0,
2135.0,VERDE_VEHICULAR_EXTENSION,5,41,7,4,1.0,25.0,
2140.0,VERDE_VEHICULAR_EXTENSION,5,41,6,5,2.0,30.0,
2145.0,AMARILLO_VEHICULAR,3,41,4,6,,,
2148.0,VERDE_PEATONAL,15,41,4,6,,,COLA_PEATONAL_ALTA
2163.0,AMARILLO_PEATONAL,3,41,8,3,,,
2166.0,VERDE_VEHICULAR_INICIAL,20,42,8,3,0.0,20.0,
2186.0,VERDE_VEHICULAR_EXTENSION,5,42,5,4,1.0,25.0,
2191.0,AMARILLO_VEHICULAR,3,42,0,6,,,
2194.0,VERDE_PEATONAL,15,42,1,7,,,COLA_PEATONAL_ALTA
2209.0,AMARILLO_PEATONAL,3,42,4,0,,,
2212.0,VERDE_VEHICULAR_INICIAL,20,43,6,1,0.0,20.0,
2232.0,AMARILLO_VEHICULAR,3,43,0,1,,,
2235.0,VERDE_PEATONAL,15,43,0,1,,,HAY_PEATONES
2250.0,AMARILLO_PEATONAL,3,43,8,0,,,
2253.0,VERDE_VEHICULAR_INICIAL,20,44,8,1,0.0,20.0,
2273.0,AMARILLO_VEHICULAR,3,44,0,3,,,
2276.0,VERDE_PEATONAL,15,44,1,4,,,COLA_PEATONAL_ALTA
2291.0,AMARILLO_PEATONAL,3,44,7,0,,,
2294.0,VERDE_VEHICULAR_INICIAL,20,45,7,0,0.0,20.0,
2314.0,AMARILLO_VEHICULAR,3,45,1,2,,,
2317.0,VERDE_PEATONAL,15,45,2,2,,,HAY_PEATONES
2332.0,AMARILLO_PEATONAL,3,45,6,0,,,
2335.0,VERDE_VEHICULAR_INICIAL,20,46,8,0,0.0,20.0,
2355.0,VERDE_VEHICULAR_EXTENSION,5,46,11,7,1.0,25.0,
2360.0,VERDE_VEHICULAR_EXTENSION,5,46,9,9,2.0,30.0,
2365.0,VERDE_VEHICULAR_EXTENSION,5,46,7,9,3.0,35.0,
